schedule_id,flight_date,origin_airport,dest_airport,dept_time,arr_time,flight_id ,delay_time,flight_status_id 
SC000071358,1/26/2018,SNA,SMF,1707,1837,1458,12,3
SC000071379,1/26/2018,STL,DAL,1200,1338,33,-7,1
SC000071400,1/26/2018,STL,FLL,657,1029,958,-6,1
SC000071421,1/26/2018,STL,MCI,1730,1831,5935,-9,1
SC000071442,1/26/2018,STL,OMA,2115,2226,297,-14,1
SC000071463,1/26/2018,STL,TUL,2110,2222,5963,-8,1
SC000071484,1/26/2018,TPA,BWI,625,828,1534,-12,1
SC000071505,1/4/2018,DAL,MAF,806,912,700,-3,1
SC000071526,1/4/2018,DAL,MEM,1748,1857,40,2,3
SC000071547,1/4/2018,DAL,PHX,600,738,637,-7,1
SC000071568,1/4/2018,DAL,SFO,1828,2032,378,62,3
SC000071589,1/4/2018,DCA,ATL,2134,2313,6253,-27,1
SC000071610,1/4/2018,DCA,MDW,755,859,736,-1,1
SC000071631,1/4/2018,DEN,ATL,619,1046,176,-29,1
SC000071652,1/4/2018,DEN,BWI,1803,2311,782,-9,1
SC000071673,1/4/2018,DEN,HOU,901,1208,286,-7,1
SC000071694,1/4/2018,DEN,LAS,938,1021,1643,1,3
SC000071715,1/4/2018,DEN,MCO,1053,1552,6039,-23,1
SC000071736,1/4/2018,DEN,OAK,1237,1412,1775,-8,1
SC000071757,1/4/2018,DEN,PHX,656,842,625,-23,1
SC000071778,1/4/2018,DEN,SEA,1114,1258,6,-17,1
SC000071799,1/4/2018,DEN,SMF,821,957,1863,-8,1
SC000071820,1/4/2018,DSM,STL,1735,1827,5633,-8,1
SC000071841,1/4/2018,DTW,STL,850,918,1797,-12,1
SC000071862,1/4/2018,ELP,PHX,1036,1148,1587,-12,1
SC000071883,1/4/2018,EWR,STL,,,876,,4
SC000071904,1/4/2018,FLL,BWI,1845,2103,4659,-17,1
SC000071925,1/4/2018,FLL,MCO,1715,1806,128,6,3
SC000071946,1/4/2018,FLL,STL,1650,1850,6114,5,3
SC000071967,1/4/2018,GRR,MDW,1803,1755,460,-15,1
SC000071988,1/4/2018,HOU,BHM,1733,1852,1961,2,3
SC000072009,1/4/2018,HOU,DAL,1000,1058,16,-2,1
SC000072030,1/4/2018,HOU,DEN,1301,1433,1812,28,3
SC000072051,1/4/2018,HOU,LAX,917,1102,638,17,3
SC000072072,1/4/2018,HOU,MDW,725,958,956,13,3
SC000072093,1/4/2018,HOU,PHX,910,1104,1,-1,1
SC000072114,1/4/2018,HOU,TPA,1315,1559,1809,-16,1
SC000072135,1/4/2018,ICT,STL,608,715,1627,-20,1
SC000072156,1/4/2018,IND,MCI,740,809,2011,-16,1
SC000072177,1/4/2018,ISP,MCO,,,1015,,4
SC000072198,1/4/2018,LAS,AMA,1104,1453,694,3,3
SC000072219,1/4/2018,LAS,BUR,1648,1751,5888,6,3
SC000072240,1/4/2018,LAS,DEN,1011,1254,1484,19,3
